simulation_num,N,moves,seconds,word_count,word_list
1,2,22,0.1838,0,
2,2,37,0.1926,8,EX;ELS;LEX;ES;LES;SEX;SEL;EL
3,2,50,0.1973,9,PIE;PA;PI;AI;AE;PIA;PE;APE;PEA
4,2,22,0.1835,0,
5,2,22,0.1857,0,
6,2,18,0.1823,0,
7,2,24,0.1828,0,
8,2,36,0.1918,4,UP;PUB;BUG;PUG
9,2,48,0.2078,13,MA;OP;MOP;MAP;MO;PA;PAM;APO;OM;POM;AM;MOA;AMP
10,2,55,0.2061,11,AH;RAH;RAI;AI;AHI;HI;HAIR;HA;RIA;AR;AIR
11,3,110,0.2027,1,HM
12,3,444,0.2812,38,NAW;NEE;FEN;EF;VEENA;WEAN;EVE;ANE;ANEW;NA;EN;WANE;WEN;VEE;AWEE;AWE;FEW;WAN;ANA;NEVE;FAENA;WEE;NEW;VENA;AN;NE;WE;FAN;NAE;FE;EVEN;WAE;AA;AW;AE;FANE;FEE;FA
13,3,223,0.233,6,ICY;MIC;MIR;MI;CWM;RIM
14,3,305,0.2463,29,TO;GOT;TWA;TOD;GOD;DOG;WAFT;FAT;OOT;DOT;OAF;GOO;TAO;WAT;OD;TAW;TOG;TA;AT;AFT;DO;OAT;TOO;AW;GOAT;GO;GOA;DOAT;FA
15,3,325,0.2488,46,TO;MAT;TAMED;TAM;DATO;ADOS;AM;ODE;TOD;MEDS;JOTA;MADE;MA;MAD;DOT;SO;AD;ME;ADO;OD;SOD;OS;DAM;TA;MED;DOS;DATOS;TAD;AT;ODA;DO;JOT;TADS;EDS;SOT;MADS;TAME;TODS;ODS;ADS;DAME;SODA;ED;EM;JO;DE
16,3,72,0.1704,0,
17,3,307,0.2382,20,AH;TARRY;VAT;HA;HAT;TAV;TRY;RATH;TA;RAT;VARY;ARTY;VAR;AT;RAH;HART;HARRY;AR;ART;TAR
18,3,294,0.2349,19,YA;NA;NAY;AY;AND;AD;NADA;YANK;KANA;ANA;ANY;DANK;HYP;KA;AN;PYA;DAK;DAN;DAY
19,3,115,0.1791,0,
20,3,138,0.1849,2,FA;SH
